# wavelength (nm), H7260-20 QE (%)
473,17.73528023013515
474,17.80850264392448
475,17.87003583962531
476,17.92080875722947
477,17.96190420179659
478,17.99446614042877
479,18.01965273105382
480,18.03860947429717
481,18.05244329188194
482,18.06218929675144
483,18.06877311094441
484,18.07297969181945
485,18.07544093612938
486,18.07664749678131
487,18.07697955055185
488,18.07674398545417
489,18.07620554164691
490,18.07560448172551
491,18.07515837670005
492,18.07504836369512
493,18.0753925638256
494,18.07621338533519
495,18.07740980530953
496,18.07874623833239
497,18.07986411836292
498,18.0803140987142
499,18.07960168963639
500,18.07723941070819
501,18.07280046807517
502,18.06596796593714
503,18.05657035478065
504,18.04459367149865
505,18.03016767472246
506,18.01353292684105
507,17.99500206063533
508,17.97492702781989
509,17.95367755883175
510,17.9316296659093
511,17.90915980118611
512,17.8866396620529
513,17.86442688692954
514,17.84284772204347
515,17.82217046432349
516,17.80257371648558
517,17.78411892948081
518,17.76673796722736
519,17.75024113572194
520,17.73434212182952
521,17.7186897361972
522,17.70289619659189
523,17.68655657722795
524,17.66925964690412
525,17.65059366101942
526,17.63015186868819
527,17.6075429264842
528,17.58241115965345
529,17.55446898336472
530,17.52353762738165
531,17.48958492758016
532,17.45274592740044
533,17.41331739192744
534,17.37172867546309
535,17.32850102251814
536,17.28420913885324
537,17.23945311897398
538,17.19484072429142
539,17.15097413734675
540,17.10843309440482
541,17.06774769468613
542,17.02935946334416
543,16.99357754267854
544,16.96054398226196
545,16.93022213638597
546,16.90241330666045
547,16.87679438413918
548,16.85296193544776
549,16.83047015265249
550,16.80885825476003
551,16.78767080591651
552,16.76647746716617
553,16.74489622404593
554,16.72261836577092
555,16.69942832281187
556,16.67521069024794
557,16.64994138494201
558,16.62366677535796
559,16.59647886928463
560,16.56849381261989
561,16.5398367971733
562,16.5106326256781
563,16.48099980500676
564,16.4510467575086
565,16.42086991428088
566,16.39055386967538
567,16.3601733456369
568,16.32979610327059
569,16.29948577294057
570,16.26930393761175
571,16.23931134216327
572,16.20956845257218
573,16.18013565984766
574,16.15107333053108
575,16.12244177999546
576,16.09430113188334
577,16.06671091730285
578,16.03972918124101
579,16.01341089551277
580,15.98780573017354
581,15.96295566303246
582,15.93889323736439
583,15.91564118817909
584,15.89321360324998
585,15.87161811552005
586,15.85085828895419
587,15.83093550249767
588,15.81184999905889
589,15.7936009771439
590,15.77618552155642
591,15.75959600915089
592,15.74381579296568
593,15.72881369229382
594,15.7145387897498
595,15.70091748137037
596,15.68785404919504
597,15.67523450124787
598,15.66293207614162
599,15.65081250452001
600,15.63873783163108
601,15.6265686097414
602,15.61416490087692
603,15.60138664761536
604,15.58809382706704
605,15.57414671617724
606,15.55940676356233
607,15.54373900297689
608,15.52701736699288
609,15.50913401136163
610,15.49001223903289
611,15.46962014015392
612,15.44798025524284
613,15.42517123034528
614,15.40132067376338
615,15.37659210364657
616,15.35117038834401
